id,value,created_at,updated_at,organization
45,37,2016-06-02 20:44:31,2016-06-02 20:44:31,Touch
46,38,2016-06-02 20:44:31,2016-06-02 20:44:31,Network Research Corp.
47,39,2016-06-02 20:44:31,2016-06-02 20:44:31,Baylor College of Medicine
48,40,2016-06-02 20:44:31,2016-06-02 20:44:31,NMFECC-LLNL
49,41,2016-06-02 20:44:31,2016-06-02 20:44:31,SRI
50,42,2016-06-02 20:44:31,2016-06-02 20:44:31,Sun Microsystems
51,43,2016-06-02 20:44:31,2016-06-02 20:44:31,3Com
52,44,2016-06-02 20:44:31,2016-06-02 20:44:31,CMC
53,45,2016-06-02 20:44:31,2016-06-02 20:44:31,SynOptics
54,46,2016-06-02 20:44:31,2016-06-02 20:44:31,Cheyenne Software
55,47,2016-06-02 20:44:31,2016-06-02 20:44:31,Prime Computer
56,48,2016-06-02 20:44:31,2016-06-02 20:44:31,MCNC/North Carolina
57,49,2016-06-02 20:44:31,2016-06-02 20:44:31,Chippcom
58,50,2016-06-02 20:44:31,2016-06-02 20:44:31,Optical Data Systems
59,51,2016-06-02 20:44:31,2016-06-02 20:44:31,gated
60,52,2016-06-02 20:44:31,2016-06-02 20:44:31,Enterasys Networks Inc.
61,53,2016-06-02 20:44:31,2016-06-02 20:44:31,Apollo Computers
62,54,2016-06-02 20:44:31,2016-06-02 20:44:31,"DeskTalk Systems, Inc."
63,55,2016-06-02 20:44:31,2016-06-02 20:44:31,SSDS
64,56,2016-06-02 20:44:31,2016-06-02 20:44:31,Castle Rock Computing
65,57,2016-06-02 20:44:31,2016-06-02 20:44:31,MIPS Computer Systems
66,58,2016-06-02 20:44:31,2016-06-02 20:44:31,"TGV, Inc."
67,59,2016-06-02 20:44:31,2016-06-02 20:44:31,"Silicon Graphics, Inc."
68,60,2016-06-02 20:44:31,2016-06-02 20:44:31,University of British Columbia
69,61,2016-06-02 20:44:31,2016-06-02 20:44:31,Merit
70,62,2016-06-02 20:44:31,2016-06-02 20:44:31,NetEdge
71,63,2016-06-02 20:44:31,2016-06-02 20:44:31,"Apple Computer, Inc."
72,64,2016-06-02 20:44:31,2016-06-02 20:44:31,Gandalf
73,65,2016-06-02 20:44:31,2016-06-02 20:44:31,Dartmouth College
74,66,2016-06-02 20:44:31,2016-06-02 20:44:31,David Systems
75,67,2016-06-02 20:44:31,2016-06-02 20:44:31,Reuter
76,68,2016-06-02 20:44:31,2016-06-02 20:44:31,Cornell
77,69,2016-06-02 20:44:31,2016-06-02 20:44:31,Michael Sabo
78,70,2016-06-02 20:44:31,2016-06-02 20:44:31,Locus Computing Corp.
79,71,2016-06-02 20:44:31,2016-06-02 20:44:31,NASA
80,72,2016-06-02 20:44:31,2016-06-02 20:44:31,Retix
81,73,2016-06-02 20:44:31,2016-06-02 20:44:31,Boeing
82,74,2016-06-02 20:44:31,2016-06-02 20:44:31,AT&T
83,75,2016-06-02 20:44:31,2016-06-02 20:44:31,Ungermann-Bass
84,76,2016-06-02 20:44:31,2016-06-02 20:44:31,Digital Analysis Corporation
85,77,2016-06-02 20:44:31,2016-06-02 20:44:31,LAN Manager
86,78,2016-06-02 20:44:31,2016-06-02 20:44:31,LogMatrix Inc (formerly 'OpenService Inc.')
87,79,2016-06-02 20:44:31,2016-06-02 20:44:31,Fujitsu Services
88,80,2016-06-02 20:44:31,2016-06-02 20:44:31,"Auspex Systems, Inc"
89,81,2016-06-02 20:44:31,2016-06-02 20:44:31,Lannet Company
90,82,2016-06-02 20:44:31,2016-06-02 20:44:31,Network Computing Devices
91,83,2016-06-02 20:44:31,2016-06-02 20:44:31,Raycom Systems
92,84,2016-06-02 20:44:31,2016-06-02 20:44:31,Pirelli Focom Ltd.
93,85,2016-06-02 20:44:31,2016-06-02 20:44:31,Datability Software Systems
94,86,2016-06-02 20:44:31,2016-06-02 20:44:31,Network Application Technology
95,87,2016-06-02 20:44:31,2016-06-02 20:44:31,"Institute of Telematics, Karlsruhe Institute of Technology (KIT)"
96,88,2016-06-02 20:44:31,2016-06-02 20:44:31,New York University
97,89,2016-06-02 20:44:31,2016-06-02 20:44:31,RND
98,90,2016-06-02 20:44:31,2016-06-02 20:44:31,InterCon Systems Corporation
99,91,2016-06-02 20:44:31,2016-06-02 20:44:31,Coral Network Corporation
100,92,2016-06-02 20:44:31,2016-06-02 20:44:31,Webster Computer Corporation
101,93,2016-06-02 20:44:31,2016-06-02 20:44:31,Frontier Technologies Corporation
102,94,2016-06-02 20:44:31,2016-06-02 20:44:31,Nokia
103,95,2016-06-02 20:44:31,2018-02-22 23:40:58,"Rockwell Automation, Inc. (formerly 'Allen-Bradley Company')"
104,96,2016-06-02 20:44:31,2016-06-02 20:44:31,CERN
105,97,2016-06-02 20:44:31,2016-06-02 20:44:31,"Sigma Network Systems, Inc."
106,98,2016-06-02 20:44:31,2016-06-02 20:44:31,"Emerging Technologies, Inc."
107,99,2016-06-02 20:44:31,2016-06-02 20:44:31,SNMP Research
108,100,2016-06-02 20:44:31,2016-06-02 20:44:31,Ohio State University
109,101,2016-06-02 20:44:31,2016-06-02 20:44:31,Ultra Network Technologies Julie
110,102,2016-06-02 20:44:31,2016-06-02 20:44:31,Microcom
111,103,2016-06-02 20:44:31,2016-06-02 20:44:31,Lockheed Martin
112,104,2016-06-02 20:44:31,2016-06-02 20:44:31,Micro Technology
113,105,2016-06-02 20:44:31,2016-06-02 20:44:31,Process Software Corporation
114,106,2016-06-02 20:44:31,2016-06-02 20:44:31,EMC Data General Division
115,107,2016-06-02 20:44:31,2016-06-02 20:44:31,Bull Company
116,108,2016-06-02 20:44:31,2016-06-02 20:44:31,Emulex Corporation
117,109,2016-06-02 20:44:31,2016-06-02 20:44:31,Warwick University Computing Services
118,110,2016-06-02 20:44:31,2016-06-02 20:44:31,"NetScout Systems, Inc. (formerly 'Network General Corporation')"
119,111,2016-06-02 20:44:31,2016-06-02 20:44:31,Oracle
120,112,2016-06-02 20:44:31,2016-06-02 20:44:31,Control Data Corporation
121,113,2016-06-02 20:44:31,2016-06-02 20:44:31,Hughes Aircraft Company
122,114,2016-06-02 20:44:31,2016-06-02 20:44:31,"Synernetics, Inc."
123,115,2016-06-02 20:44:31,2016-06-02 20:44:31,Mitre
124,116,2016-06-02 20:44:31,2016-06-02 20:44:31,"Hitachi, Ltd."
125,117,2016-06-02 20:44:31,2016-06-02 20:44:31,Telebit
126,118,2016-06-02 20:44:31,2016-06-02 20:44:31,Salomon Technology Services
127,119,2016-06-02 20:44:31,2016-06-02 20:44:31,NEC Corporation
128,120,2016-06-02 20:44:32,2016-06-02 20:44:32,Fibermux
129,121,2016-06-02 20:44:32,2016-06-02 20:44:32,FTP Software Inc.
130,122,2016-06-02 20:44:32,2016-06-02 20:44:32,Sony
131,123,2016-06-02 20:44:32,2016-06-02 20:44:32,Newbridge Networks Corporation
132,124,2016-06-02 20:44:32,2016-06-02 20:44:32,Racal-Datacom
133,125,2016-06-02 20:44:32,2016-06-02 20:44:32,CR SYSTEMS
134,126,2016-06-02 20:44:32,2016-06-02 20:44:32,DSET Corporation
135,127,2016-06-02 20:44:32,2016-06-02 20:44:32,Computone
136,128,2016-06-02 20:44:32,2016-06-02 20:44:32,"Tektronix, Inc."
137,129,2016-06-02 20:44:32,2016-06-02 20:44:32,Interactive Systems Corporation
138,130,2016-06-02 20:44:32,2016-06-02 20:44:32,Banyan Systems Inc.
139,131,2016-06-02 20:44:32,2016-06-02 20:44:32,Sintrom Datanet Limited
140,132,2016-06-02 20:44:32,2016-06-02 20:44:32,Bell Canada
141,133,2016-06-02 20:44:32,2016-06-02 20:44:32,Olicom Enterprise Products Inc.
142,134,2016-06-02 20:44:32,2016-06-02 20:44:32,Rice University
143,135,2016-06-02 20:44:32,2016-06-02 20:44:32,OnStream Networks
144,136,2016-06-02 20:44:32,2016-06-02 20:44:32,Concurrent Computer Corporation
145,137,2016-06-02 20:44:32,2016-06-02 20:44:32,Basser
146,138,2016-06-02 20:44:32,2016-06-02 20:44:32,Luxcom
147,139,2016-06-02 20:44:32,2016-06-02 20:44:32,Artel
148,140,2016-06-02 20:44:32,2016-06-02 20:44:32,"Independence Technologies, Inc.(ITI)"
149,141,2016-06-02 20:44:32,2016-06-02 20:44:32,"NetScout Systems, Inc. (formerly 'Frontier Software Development')"
150,142,2016-06-02 20:44:32,2016-06-02 20:44:32,Digital Computer Limited
151,143,2016-06-02 20:44:32,2016-06-02 20:44:32,"Eyring, Inc."
152,144,2016-06-02 20:44:32,2016-06-02 20:44:32,Case Communications
153,145,2016-06-02 20:44:32,2016-06-02 20:44:32,"Penril DataComm, Inc."
154,146,2016-06-02 20:44:32,2016-06-02 20:44:32,"American Airlines, Inc."
155,147,2016-06-02 20:44:32,2016-06-02 20:44:32,Sequent Computer Systems
156,148,2016-06-02 20:44:32,2016-06-02 20:44:32,Bellcore
157,149,2016-06-02 20:44:32,2016-06-02 20:44:32,Concord Communications
158,150,2016-06-02 20:44:32,2016-06-02 20:44:32,University of Washington
159,151,2016-06-02 20:44:32,2016-06-02 20:44:32,Develcon
160,152,2016-06-02 20:44:32,2016-06-02 20:44:32,Solarix Systems
161,153,2016-06-02 20:44:32,2016-06-02 20:44:32,Unifi Communications Corp.
162,154,2016-06-02 20:44:32,2016-06-02 20:44:32,Roadnet
163,155,2016-06-02 20:44:32,2016-06-02 20:44:32,Network Systems Corp.
164,156,2016-06-02 20:44:32,2016-06-02 20:44:32,ENE (European Network Engineering)
165,157,2016-06-02 20:44:32,2016-06-02 20:44:32,Dansk Data Elektronik A/S
166,158,2016-06-02 20:44:32,2016-06-02 20:44:32,"Morningstar, Inc."
167,159,2016-06-02 20:44:32,2016-06-02 20:44:32,Dupont EOP
168,160,2016-06-02 20:44:32,2016-06-02 20:44:32,"Legato Systems, Inc."
169,161,2016-06-02 20:44:32,2016-06-02 20:44:32,Motorola
170,162,2016-06-02 20:44:32,2016-06-02 20:44:32,European Space Agency (ESA)
171,163,2016-06-02 20:44:32,2016-06-02 20:44:32,Aethis sa/nv
172,164,2016-06-02 20:44:32,2016-06-02 20:44:32,Rad Data Communications Ltd.
173,165,2016-06-02 20:44:32,2016-06-02 20:44:32,"OfficeNet, Inc."
174,166,2016-06-02 20:44:32,2016-06-02 20:44:32,Shiva Corporation
175,167,2016-06-02 20:44:32,2016-06-02 20:44:32,Fujikura America
176,168,2016-06-02 20:44:32,2016-06-02 20:44:32,Xlnt Designs INC (XDI)
177,169,2016-06-02 20:44:32,2016-06-02 20:44:32,Tandem Computers
178,170,2016-06-02 20:44:32,2016-06-02 20:44:32,BICC
179,171,2016-06-02 20:44:32,2016-06-02 20:44:32,"D-Link Systems, Inc."
180,172,2016-06-02 20:44:32,2016-06-02 20:44:32,"AMP, Inc."
181,173,2016-06-02 20:44:32,2016-06-02 20:44:32,Netlink
182,174,2016-06-02 20:44:32,2016-06-02 20:44:32,C. Itoh Electronics
183,175,2016-06-02 20:44:32,2016-06-02 20:44:32,Sumitomo Electric Industries (SEI)
184,176,2016-06-02 20:44:32,2016-06-02 20:44:32,"DHL Systems, Inc."
185,177,2016-06-02 20:44:32,2017-07-20 23:30:56,"Sonus Networks, Inc."
186,178,2016-06-02 20:44:32,2016-06-02 20:44:32,APTEC Computer Systems
187,179,2016-06-02 20:44:32,2016-06-02 20:44:32,"Schneider & Koch & Co, Datensysteme GmbH"
188,180,2016-06-02 20:44:32,2016-06-02 20:44:32,Hill Air Force Base
189,181,2016-06-02 20:44:32,2016-06-02 20:44:32,Kentrox
190,182,2016-06-02 20:44:32,2016-06-02 20:44:32,Japan Radio Co.
191,183,2016-06-02 20:44:32,2016-06-02 20:44:32,Versitron
192,184,2016-06-02 20:44:32,2016-06-02 20:44:32,Telecommunication Systems
193,185,2016-06-02 20:44:32,2016-06-02 20:44:32,Interphase
194,186,2016-06-02 20:44:32,2016-06-02 20:44:32,Toshiba Corporation
195,187,2016-06-02 20:44:32,2016-06-02 20:44:32,Clearpoint Research Corp.
196,188,2016-06-02 20:44:32,2016-06-02 20:44:32,Ascom
197,189,2016-06-02 20:44:32,2016-06-02 20:44:32,Fujitsu America
198,190,2016-06-02 20:44:32,2016-06-02 20:44:32,NovaQuest InfoSystems
199,191,2016-06-02 20:44:32,2016-06-02 20:44:32,NCR
200,192,2016-06-02 20:44:32,2016-06-02 20:44:32,Dr. Materna GmbH
201,193,2016-06-02 20:44:32,2016-06-02 20:44:32,Ericsson AB
202,194,2016-06-02 20:44:32,2016-06-02 20:44:32,Metaphor Computer Systems
203,195,2016-06-02 20:44:32,2016-06-02 20:44:32,Patriot Partners
204,196,2016-06-02 20:44:32,2016-06-02 20:44:32,The Software Group Limited (TSG)
205,197,2016-06-02 20:44:32,2016-06-02 20:44:32,"Kalpana, Inc."
206,198,2016-06-02 20:44:32,2016-06-02 20:44:32,University of Waterloo
207,199,2016-06-02 20:44:32,2016-06-02 20:44:32,CCL/ITRI
208,200,2016-06-02 20:44:32,2016-06-02 20:44:32,Coeur Postel
209,201,2016-06-02 20:44:32,2018-08-30 23:40:20,"Mitsubishi Cable Industries, Ltd. / RYOSEI SYSTEMS,LTD."
210,202,2016-06-02 20:44:32,2016-06-02 20:44:32,SMC
211,203,2016-06-02 20:44:32,2016-06-02 20:44:32,"Crescendo Communication, Inc."
212,204,2016-06-02 20:44:32,2019-06-04 23:43:23,"Douglas Goodall, Consultant"
213,205,2016-06-02 20:44:32,2016-06-02 20:44:32,Intecom
214,206,2016-06-02 20:44:32,2016-06-02 20:44:32,Victoria University of Wellington
215,207,2016-06-02 20:44:32,2016-06-02 20:44:32,"Allied Telesis, Inc."
216,208,2016-06-02 20:44:32,2016-06-02 20:44:32,Cray Communications A/S
217,209,2016-06-02 20:44:32,2016-06-02 20:44:32,Protools
218,210,2016-06-02 20:44:32,2016-06-02 20:44:32,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
219,211,2016-06-02 20:44:32,2016-06-02 20:44:32,Fujitsu Limited
220,212,2016-06-02 20:44:32,2016-06-02 20:44:32,Network Peripherals Inc.
221,213,2016-06-02 20:44:32,2016-06-02 20:44:32,"Netronix, Inc."
222,214,2016-06-02 20:44:32,2016-06-02 20:44:32,University of Wisconsin Madison
223,215,2016-06-02 20:44:32,2016-06-02 20:44:32,"NetWorth, Inc."
224,216,2016-06-02 20:44:32,2016-06-02 20:44:32,Tandberg Data A/S
225,217,2016-06-02 20:44:32,2016-06-02 20:44:32,"Technically Elite Concepts, Inc."
226,218,2016-06-02 20:44:32,2016-06-02 20:44:32,Labtam Australia Pty. Ltd.
227,219,2016-06-02 20:44:32,2016-06-02 20:44:32,"Republic Telcom Systems, Inc."
228,220,2016-06-02 20:44:32,2016-06-02 20:44:32,"ADI Systems, Inc."
229,221,2016-06-02 20:44:32,2016-06-02 20:44:32,"Microwave Bypass Systems, Inc."
230,222,2016-06-02 20:44:32,2016-06-02 20:44:32,Pyramid Technology Corp.
231,223,2016-06-02 20:44:32,2016-06-02 20:44:32,Unisys_Corp
232,224,2016-06-02 20:44:32,2016-06-02 20:44:32,"LANOPTICS LTD., Israel"
233,225,2016-06-02 20:44:32,2016-06-02 20:44:32,NKK Corporation
234,226,2016-06-02 20:44:32,2016-06-02 20:44:32,CODIMA Technologies Ltd
235,227,2016-06-02 20:44:32,2016-06-02 20:44:32,Acals
236,228,2016-06-02 20:44:32,2016-06-02 20:44:32,"ASTEC, Inc."
237,229,2016-06-02 20:44:32,2016-06-02 20:44:32,Delmarva Power
238,230,2016-06-02 20:44:32,2016-06-02 20:44:32,"Telematics International, Inc."
239,231,2016-06-02 20:44:32,2016-06-02 20:44:32,Fujitsu Technology Solutions GmbH (formerly 'Fujitsu Siemens Computers')
240,232,2016-06-02 20:44:32,2016-06-02 20:44:32,Compaq
241,233,2016-06-02 20:44:32,2016-06-02 20:44:32,"NetManage, Inc."
242,234,2016-06-02 20:44:32,2016-06-02 20:44:32,NC State University
243,235,2016-06-02 20:44:32,2016-06-02 20:44:32,Empirical Tools and Technologies
244,236,2016-06-02 20:44:32,2016-06-02 20:44:32,"Samsung Electronics Co., LTD."
245,237,2016-06-02 20:44:32,2016-06-02 20:44:32,"Takaoka Electric Mfg. Co., Ltd."
246,238,2016-06-02 20:44:32,2016-06-02 20:44:32,NxNetworks
247,239,2016-06-02 20:44:32,2016-06-02 20:44:32,WINDATA
248,240,2016-06-02 20:44:32,2016-06-02 20:44:32,RC International A/S
249,241,2016-06-02 20:44:32,2016-06-02 20:44:32,Netexp Research
250,242,2016-06-02 20:44:32,2016-06-02 20:44:32,Internode Systems Pty Ltd
251,243,2016-06-02 20:44:32,2016-06-02 20:44:32,netCS Informationstechnik GmbH
252,244,2016-06-02 20:44:32,2016-06-02 20:44:32,Lantronix
253,245,2016-06-02 20:44:32,2016-06-02 20:44:32,Avatar Consultants
254,246,2016-06-02 20:44:32,2016-06-02 20:44:32,Furukawa Electoric Co. Ltd.
255,247,2016-06-02 20:44:32,2016-06-02 20:44:32,ND SatCom - Gesellschaft f�r SatellitenkommunikationssystemembH
256,248,2016-06-02 20:44:32,2016-06-02 20:44:32,Richard Hirschmann GmbH & Co.
257,249,2016-06-02 20:44:32,2016-06-02 20:44:32,G2R Inc.
258,250,2016-06-02 20:44:32,2016-06-02 20:44:32,University of Michigan
259,251,2016-06-02 20:44:32,2016-06-02 20:44:32,"Netcomm, Ltd."
260,252,2016-06-02 20:44:32,2016-06-02 20:44:32,Sable Technology Corporation
261,253,2016-06-02 20:44:32,2016-06-02 20:44:32,Xerox
262,254,2016-06-02 20:44:32,2016-06-02 20:44:32,Conware Computer Consulting GmbH
263,255,2016-06-02 20:44:32,2016-06-02 20:44:32,Compatible Systems Corp.
264,256,2016-06-02 20:44:32,2016-06-02 20:44:32,Scitec Communications Systems Ltd.
265,257,2016-06-02 20:44:32,2016-06-02 20:44:32,Transarc Corporation
266,258,2016-06-02 20:44:32,2016-06-02 20:44:32,"Matsushita Electric Industrial Co., Ltd."
267,259,2016-06-02 20:44:32,2016-06-02 20:44:32,ACCTON Technology
268,260,2016-06-02 20:44:32,2016-06-02 20:44:32,"Star-Tek, Inc."
269,261,2016-06-02 20:44:32,2016-06-02 20:44:32,ADC Codenoll Technology Corporation
270,262,2016-06-02 20:44:32,2016-06-02 20:44:32,"Formation, Inc."
271,263,2016-06-02 20:44:32,2016-06-02 20:44:32,"Seiko Instruments, Inc."
272,264,2016-06-02 20:44:32,2016-06-02 20:44:32,RCE (Reseaux de Communication d'Entreprise S.A.)
273,265,2016-06-02 20:44:32,2016-06-02 20:44:32,"Xenocom, Inc."
274,266,2016-06-02 20:44:32,2016-06-02 20:44:32,Nexans Deutschland Industries
275,267,2016-06-02 20:44:32,2016-06-02 20:44:32,Systech Computer Corporation
276,268,2016-06-02 20:44:32,2016-06-02 20:44:32,Visual
277,269,2016-06-02 20:44:32,2016-06-02 20:44:32,CSC Airline Solutions Denmark A/S
278,270,2016-06-02 20:44:32,2016-06-02 20:44:32,Zenith Electronics Corporation
279,271,2016-06-02 20:44:32,2018-11-02 23:41:19,Telia Company AB
280,272,2016-06-02 20:44:32,2016-06-02 20:44:32,BinTec Communications GmbH
281,273,2016-06-02 20:44:32,2016-06-02 20:44:32,EUnet Germany
282,274,2016-06-02 20:44:32,2016-06-02 20:44:32,PictureTel Corporation
283,275,2016-06-02 20:44:32,2016-06-02 20:44:32,Michigan State University
284,276,2016-06-02 20:44:32,2016-06-02 20:44:32,GTE Government Systems - Network Management Organization
285,277,2016-06-02 20:44:32,2016-06-02 20:44:32,Cascade Communications Corp.
286,278,2016-06-02 20:44:32,2016-11-18 00:41:27,"APRESIA Systems, Ltd. (formerly 'Hitachi Cable, Ltd.')"
287,279,2016-06-02 20:44:32,2016-06-02 20:44:32,Olivetti
288,280,2016-06-02 20:44:32,2016-06-02 20:44:32,Vitacom Corporation
289,281,2016-06-02 20:44:32,2016-06-02 20:44:32,INMOS
290,282,2016-06-02 20:44:32,2016-06-02 20:44:32,AIC Systems Laboratories Ltd.
291,283,2016-06-02 20:44:33,2016-06-02 20:44:33,"Cameo Communications, Inc."
292,284,2016-06-02 20:44:33,2016-06-02 20:44:33,Diab Data AB
293,285,2016-06-02 20:44:33,2016-06-02 20:44:33,Olicom A/S
294,286,2016-06-02 20:44:33,2016-06-02 20:44:33,Digital-Kienzle Computersystems
295,287,2016-06-02 20:44:33,2016-06-02 20:44:33,CSELT(Centro Studi E Laboratori Telecomunicazioni)
296,288,2016-06-02 20:44:33,2016-06-02 20:44:33,Electronic Data Systems
297,289,2016-06-02 20:44:33,2016-06-02 20:44:33,"Brocade Communications Systems, Inc. (formerly 'McData Corporation')"
298,290,2016-06-02 20:44:33,2016-06-02 20:44:33,Harris Corporation
299,291,2016-06-02 20:44:33,2016-06-02 20:44:33,"Technology Dynamics, Inc."
300,292,2016-06-02 20:44:33,2016-06-02 20:44:33,DATAHOUSE Information Systems Ltd.
301,293,2016-06-02 20:44:33,2016-06-02 20:44:33,Teltrend (NZ) Limited
302,294,2016-06-02 20:44:33,2016-06-02 20:44:33,Texas Instruments
303,295,2016-06-02 20:44:33,2016-06-02 20:44:33,PlainTree Systems Inc.
304,296,2016-06-02 20:44:33,2016-06-02 20:44:33,Hedemann Software Development
305,297,2016-06-02 20:44:33,2021-03-16 23:31:25,FUJIFILM Business Innovation Corp.
306,298,2016-06-02 20:44:33,2016-06-02 20:44:33,Asante Technology
307,299,2016-06-02 20:44:33,2016-06-02 20:44:33,Stanford University
308,300,2016-06-02 20:44:33,2016-06-02 20:44:33,Digital Link
309,301,2016-06-02 20:44:33,2016-06-02 20:44:33,Raylan Corporation
310,302,2016-06-02 20:44:33,2016-06-02 20:44:33,Commscraft
311,303,2016-06-02 20:44:33,2016-06-02 20:44:33,"Hughes Communications, Inc."
312,304,2016-06-02 20:44:33,2016-06-02 20:44:33,"Farallon Computing, Inc."
313,305,2016-06-02 20:44:33,2016-06-02 20:44:33,GE Information Services
314,306,2016-06-02 20:44:33,2016-06-02 20:44:33,Gambit Computer Communications
315,307,2016-06-02 20:44:33,2016-06-02 20:44:33,"Livingston Enterprises, Inc."
316,308,2016-06-02 20:44:33,2016-06-02 20:44:33,Star Technologies
317,309,2016-06-02 20:44:33,2016-06-02 20:44:33,Micronics Computers Inc.
318,310,2016-06-02 20:44:33,2016-06-02 20:44:33,"Basis, Inc."
319,312,2016-06-02 20:44:33,2016-06-02 20:44:33,US West Advance Technologies
320,313,2016-06-02 20:44:33,2016-06-02 20:44:33,University College London
321,314,2016-06-02 20:44:33,2016-06-02 20:44:33,Eastman Kodak Company
322,315,2016-06-02 20:44:33,2016-06-02 20:44:33,Network Resources Corporation
323,316,2016-06-02 20:44:33,2016-06-02 20:44:33,Atlas Telecom
324,317,2016-06-02 20:44:33,2016-06-02 20:44:33,Bridgeway
325,318,2016-06-02 20:44:33,2016-06-02 20:44:33,American Power Conversion Corp.
326,319,2016-06-02 20:44:33,2016-06-02 20:44:33,DOE Atmospheric Radiation Measurement Project
327,320,2016-06-02 20:44:33,2016-06-02 20:44:33,VerSteeg CodeWorks
328,321,2016-06-02 20:44:33,2016-06-02 20:44:33,Verilink Corp
329,322,2016-06-02 20:44:33,2016-06-02 20:44:33,Sybus Corportation
330,323,2016-06-02 20:44:33,2016-06-02 20:44:33,Tekelec
331,324,2016-06-02 20:44:33,2016-06-02 20:44:33,NASA Ames Research Center
332,325,2016-06-02 20:44:33,2016-06-02 20:44:33,Simon Fraser University
333,326,2016-06-02 20:44:33,2016-06-02 20:44:33,"Fore Systems, Inc."
334,327,2016-06-02 20:44:33,2016-06-02 20:44:33,"Centrum Communications, Inc."
335,328,2016-06-02 20:44:33,2016-06-02 20:44:33,"NeXT Computer, Inc."
336,329,2016-06-02 20:44:33,2016-06-02 20:44:33,"Netcore, Inc."
337,330,2016-06-02 20:44:33,2016-06-02 20:44:33,Northwest Digital Systems
338,331,2016-06-02 20:44:33,2016-06-02 20:44:33,Andrew Corporation
339,332,2016-06-02 20:44:33,2016-06-02 20:44:33,Digi International
340,333,2016-06-02 20:44:33,2016-06-02 20:44:33,Computer Network Technology
341,334,2016-06-02 20:44:33,2016-06-02 20:44:33,Lotus Development Corp.
342,335,2016-06-02 20:44:33,2016-06-02 20:44:33,MICOM Communication Corporation
343,336,2016-06-02 20:44:33,2016-06-02 20:44:33,ASCII Corporation
344,337,2016-06-02 20:44:33,2016-06-02 20:44:33,PUREDATA Research
345,338,2016-06-02 20:44:33,2016-06-02 20:44:33,NTT DATA
